Student_number,College,Program,Section,School_year,Semester,Year_level,Average,Absents,Year,Month
2022162049,College of Engineering and Architecture,BS Civil Engineering,A,2022,1st,1,86.06,2,2021,12
2022162049,College of Engineering and Architecture,BS Civil Engineering,A,2022,2nd,1,96.25,0,2022,6
2022162049,College of Engineering and Architecture,BS Civil Engineering,A,2023,1st,2,87.31,0,2022,12
2022162049,College of Engineering and Architecture,BS Civil Engineering,A,2023,2nd,2,97.02,1,2023,6
2022162049,College of Engineering and Architecture,BS Civil Engineering,A,2024,1st,3,97.11,0,2023,12
2022162049,College of Engineering and Architecture,BS Civil Engineering,A,2024,2nd,3,94.86,0,2024,6
2022162049,College of Engineering and Architecture,BS Civil Engineering,A,2025,1st,4,89.37,0,2024,12
2022162049,College of Engineering and Architecture,BS Civil Engineering,A,2025,2nd,4,87.27,0,2025,6
2022892700,College of Engineering and Architecture,BS Civil Engineering,A,2022,1st,1,92.86,0,2021,12
2022892700,College of Engineering and Architecture,BS Civil Engineering,A,2022,2nd,1,90.44,0,2022,6
2022892700,College of Engineering and Architecture,BS Civil Engineering,A,2023,1st,2,90.86,0,2022,12
2022892700,College of Engineering and Architecture,BS Civil Engineering,A,2023,2nd,2,88.85,1,2023,6
2022892700,College of Engineering and Architecture,BS Civil Engineering,A,2024,1st,3,97.95,1,2023,12
2022892700,College of Engineering and Architecture,BS Civil Engineering,A,2024,2nd,3,88.32,3,2024,6
2022892700,College of Engineering and Architecture,BS Civil Engineering,A,2025,1st,4,95.92,0,2024,12
2022892700,College of Engineering and Architecture,BS Civil Engineering,A,2025,2nd,4,97.12,0,2025,6
2022476117,College of Engineering and Architecture,BS Civil Engineering,A,2022,1st,1,90.09,0,2021,12
2022476117,College of Engineering and Architecture,BS Civil Engineering,A,2022,2nd,1,88.62,0,2022,6
2022476117,College of Engineering and Architecture,BS Civil Engineering,A,2023,1st,2,93.64,0,2022,12
2022476117,College of Engineering and Architecture,BS Civil Engineering,A,2023,2nd,2,85.1,0,2023,6
2022476117,College of Engineering and Architecture,BS Civil Engineering,A,2024,1st,3,89.66,0,2023,12
2022476117,College of Engineering and Architecture,BS Civil Engineering,A,2024,2nd,3,93.35,0,2024,6
2022476117,College of Engineering and Architecture,BS Civil Engineering,A,2025,1st,4,88.27,2,2024,12
2022476117,College of Engineering and Architecture,BS Civil Engineering,A,2025,2nd,4,96.51,0,2025,6
2022520772,College of Engineering and Architecture,BS Civil Engineering,A,2022,1st,1,87.58,0,2021,12
2022520772,College of Engineering and Architecture,BS Civil Engineering,A,2022,2nd,1,96.23,2,2022,6
2022520772,College of Engineering and Architecture,BS Civil Engineering,A,2023,1st,2,93.87,0,2022,12
2022520772,College of Engineering and Architecture,BS Civil Engineering,A,2023,2nd,2,88.59,0,2023,6
2022520772,College of Engineering and Architecture,BS Civil Engineering,A,2024,1st,3,97.29,0,2023,12
2022520772,College of Engineering and Architecture,BS Civil Engineering,A,2024,2nd,3,94.38,0,2024,6
2022520772,College of Engineering and Architecture,BS Civil Engineering,A,2025,1st,4,87.46,0,2024,12
2022520772,College of Engineering and Architecture,BS Civil Engineering,A,2025,2nd,4,91.56,0,2025,6
2022261121,College of Engineering and Architecture,BS Civil Engineering,A,2023,1st,1,86.1,0,2022,12
2022261121,College of Engineering and Architecture,BS Civil Engineering,A,2023,2nd,1,96.22,0,2023,6
2022261121,College of Engineering and Architecture,BS Civil Engineering,A,2024,1st,2,97.55,0,2023,12
2022261121,College of Engineering and Architecture,BS Civil Engineering,A,2024,2nd,2,94.0,3,2024,6
2022261121,College of Engineering and Architecture,BS Civil Engineering,A,2025,1st,3,88.75,0,2024,12
2022261121,College of Engineering and Architecture,BS Civil Engineering,A,2025,2nd,3,85.14,0,2025,6
2022261121,College of Engineering and Architecture,BS Civil Engineering,A,2026,1st,4,97.16,0,2025,12
2022209403,College of Engineering and Architecture,BS Civil Engineering,A,2023,1st,1,90.3,0,2022,12
2022209403,College of Engineering and Architecture,BS Civil Engineering,A,2023,2nd,1,86.76,0,2023,6
2022209403,College of Engineering and Architecture,BS Civil Engineering,A,2024,1st,2,94.22,0,2023,12
2022209403,College of Engineering and Architecture,BS Civil Engineering,A,2024,2nd,2,87.9,0,2024,6
2022209403,College of Engineering and Architecture,BS Civil Engineering,A,2025,1st,3,85.98,0,2024,12
2022209403,College of Engineering and Architecture,BS Civil Engineering,A,2025,2nd,3,86.79,0,2025,6
2022209403,College of Engineering and Architecture,BS Civil Engineering,A,2026,1st,4,94.2,0,2025,12
2022595621,College of Engineering and Architecture,BS Civil Engineering,A,2024,1st,1,89.29,0,2023,12
2022595621,College of Engineering and Architecture,BS Civil Engineering,A,2024,2nd,1,88.46,0,2024,6
2022595621,College of Engineering and Architecture,BS Civil Engineering,A,2025,1st,2,96.97,0,2024,12
2022595621,College of Engineering and Architecture,BS Civil Engineering,A,2025,2nd,2,86.32,0,2025,6
2022595621,College of Engineering and Architecture,BS Civil Engineering,A,2026,1st,3,85.11,2,2025,12
2022225490,College of Engineering and Architecture,BS Civil Engineering,A,2024,1st,1,87.39,0,2023,12
2022225490,College of Engineering and Architecture,BS Civil Engineering,A,2024,2nd,1,92.95,1,2024,6
2022225490,College of Engineering and Architecture,BS Civil Engineering,A,2025,1st,2,88.27,0,2024,12
2022225490,College of Engineering and Architecture,BS Civil Engineering,A,2025,2nd,2,89.71,0,2025,6
2022225490,College of Engineering and Architecture,BS Civil Engineering,A,2026,1st,3,86.73,0,2025,12
2022625711,College of Engineering and Architecture,BS Civil Engineering,A,2025,1st,1,88.48,0,2024,12
2022625711,College of Engineering and Architecture,BS Civil Engineering,A,2025,2nd,1,90.14,2,2025,6
2022625711,College of Engineering and Architecture,BS Civil Engineering,A,2026,1st,2,94.88,0,2025,12
2022916611,College of Engineering and Architecture,BS Civil Engineering,A,2025,1st,1,97.64,0,2024,12
2022916611,College of Engineering and Architecture,BS Civil Engineering,A,2025,2nd,1,86.08,0,2025,6
2022916611,College of Engineering and Architecture,BS Civil Engineering,A,2026,1st,2,92.7,1,2025,12
2022864110,College of Arts and Sciences,BS Statistics,A,2022,1st,1,86.96,0,2021,12
2022864110,College of Arts and Sciences,BS Statistics,A,2022,2nd,1,92.12,0,2022,6
2022864110,College of Arts and Sciences,BS Statistics,A,2023,1st,2,93.29,1,2022,12
2022864110,College of Arts and Sciences,BS Statistics,A,2023,2nd,2,97.97,0,2023,6
2022864110,College of Arts and Sciences,BS Statistics,A,2024,1st,3,97.63,0,2023,12
2022864110,College of Arts and Sciences,BS Statistics,A,2024,2nd,3,86.42,0,2024,6
2022864110,College of Arts and Sciences,BS Statistics,A,2025,1st,4,95.68,0,2024,12
2022864110,College of Arts and Sciences,BS Statistics,A,2025,2nd,4,85.08,3,2025,6
2022803805,College of Arts and Sciences,BS Statistics,A,2022,1st,1,93.55,0,2021,12
2022803805,College of Arts and Sciences,BS Statistics,A,2022,2nd,1,90.44,0,2022,6
2022803805,College of Arts and Sciences,BS Statistics,A,2023,1st,2,94.1,3,2022,12
2022803805,College of Arts and Sciences,BS Statistics,A,2023,2nd,2,90.3,0,2023,6
2022803805,College of Arts and Sciences,BS Statistics,A,2024,1st,3,90.47,0,2023,12
2022803805,College of Arts and Sciences,BS Statistics,A,2024,2nd,3,87.22,2,2024,6
2022803805,College of Arts and Sciences,BS Statistics,A,2025,1st,4,85.22,0,2024,12
2022803805,College of Arts and Sciences,BS Statistics,A,2025,2nd,4,97.62,0,2025,6
2022886591,College of Arts and Sciences,BS Statistics,A,2022,1st,1,91.13,0,2021,12
2022886591,College of Arts and Sciences,BS Statistics,A,2022,2nd,1,86.4,2,2022,6
2022886591,College of Arts and Sciences,BS Statistics,A,2023,1st,2,86.05,2,2022,12
2022886591,College of Arts and Sciences,BS Statistics,A,2023,2nd,2,89.72,0,2023,6
2022886591,College of Arts and Sciences,BS Statistics,A,2024,1st,3,95.78,0,2023,12
2022886591,College of Arts and Sciences,BS Statistics,A,2024,2nd,3,95.61,0,2024,6
2022886591,College of Arts and Sciences,BS Statistics,A,2025,1st,4,97.74,1,2024,12
2022886591,College of Arts and Sciences,BS Statistics,A,2025,2nd,4,91.66,0,2025,6
2022768623,College of Arts and Sciences,BS Statistics,A,2022,1st,1,95.9,0,2021,12
2022768623,College of Arts and Sciences,BS Statistics,A,2022,2nd,1,88.21,0,2022,6
2022768623,College of Arts and Sciences,BS Statistics,A,2023,1st,2,87.34,0,2022,12
2022768623,College of Arts and Sciences,BS Statistics,A,2023,2nd,2,92.91,3,2023,6
2022768623,College of Arts and Sciences,BS Statistics,A,2024,1st,3,86.23,0,2023,12
2022768623,College of Arts and Sciences,BS Statistics,A,2024,2nd,3,90.3,0,2024,6
2022768623,College of Arts and Sciences,BS Statistics,A,2025,1st,4,89.08,1,2024,12
2022768623,College of Arts and Sciences,BS Statistics,A,2025,2nd,4,93.74,0,2025,6
2022530291,College of Arts and Sciences,BS Statistics,A,2022,1st,1,87.73,0,2021,12
2022530291,College of Arts and Sciences,BS Statistics,A,2022,2nd,1,94.42,0,2022,6
2022530291,College of Arts and Sciences,BS Statistics,A,2023,1st,2,97.98,0,2022,12
2022530291,College of Arts and Sciences,BS Statistics,A,2023,2nd,2,94.22,0,2023,6
2022530291,College of Arts and Sciences,BS Statistics,A,2024,1st,3,93.78,0,2023,12
2022530291,College of Arts and Sciences,BS Statistics,A,2024,2nd,3,87.11,0,2024,6
2022530291,College of Arts and Sciences,BS Statistics,A,2025,1st,4,86.9,0,2024,12
2022530291,College of Arts and Sciences,BS Statistics,A,2025,2nd,4,88.34,1,2025,6
2022401087,College of Arts and Sciences,BS Statistics,A,2023,1st,1,88.37,1,2022,12
2022401087,College of Arts and Sciences,BS Statistics,A,2023,2nd,1,87.65,0,2023,6
2022401087,College of Arts and Sciences,BS Statistics,A,2024,1st,2,96.0,0,2023,12
2022401087,College of Arts and Sciences,BS Statistics,A,2024,2nd,2,88.37,0,2024,6
2022401087,College of Arts and Sciences,BS Statistics,A,2025,1st,3,85.12,1,2024,12
2022401087,College of Arts and Sciences,BS Statistics,A,2025,2nd,3,93.96,0,2025,6
2022401087,College of Arts and Sciences,BS Statistics,A,2026,1st,4,90.89,0,2025,12
2022954470,College of Arts and Sciences,BS Statistics,A,2023,1st,1,85.46,3,2022,12
2022954470,College of Arts and Sciences,BS Statistics,A,2023,2nd,1,96.41,0,2023,6
2022954470,College of Arts and Sciences,BS Statistics,A,2024,1st,2,92.71,0,2023,12
2022954470,College of Arts and Sciences,BS Statistics,A,2024,2nd,2,96.9,0,2024,6
2022954470,College of Arts and Sciences,BS Statistics,A,2025,1st,3,86.89,0,2024,12
2022954470,College of Arts and Sciences,BS Statistics,A,2025,2nd,3,85.48,2,2025,6
2022954470,College of Arts and Sciences,BS Statistics,A,2026,1st,4,88.5,1,2025,12
2022257324,College of Arts and Sciences,BS Statistics,A,2024,1st,1,94.04,1,2023,12
2022257324,College of Arts and Sciences,BS Statistics,A,2024,2nd,1,93.45,0,2024,6
2022257324,College of Arts and Sciences,BS Statistics,A,2025,1st,2,97.8,0,2024,12
2022257324,College of Arts and Sciences,BS Statistics,A,2025,2nd,2,93.71,0,2025,6
2022257324,College of Arts and Sciences,BS Statistics,A,2026,1st,3,86.69,0,2025,12
2022111743,College of Arts and Sciences,BS Statistics,A,2024,1st,1,93.73,0,2023,12
2022111743,College of Arts and Sciences,BS Statistics,A,2024,2nd,1,96.0,0,2024,6
2022111743,College of Arts and Sciences,BS Statistics,A,2025,1st,2,96.34,0,2024,12
2022111743,College of Arts and Sciences,BS Statistics,A,2025,2nd,2,87.42,0,2025,6
2022111743,College of Arts and Sciences,BS Statistics,A,2026,1st,3,89.88,3,2025,12
2022708175,College of Arts and Sciences,BS Statistics,A,2025,1st,1,94.02,0,2024,12
2022708175,College of Arts and Sciences,BS Statistics,A,2025,2nd,1,86.83,2,2025,6
2022708175,College of Arts and Sciences,BS Statistics,A,2026,1st,2,93.29,2,2025,12
2022359305,College of Arts and Sciences,BS Statistics,A,2025,1st,1,85.53,1,2024,12
2022359305,College of Arts and Sciences,BS Statistics,A,2025,2nd,1,88.98,0,2025,6
2022359305,College of Arts and Sciences,BS Statistics,A,2026,1st,2,96.29,0,2025,12
2022241398,College of Arts and Sciences,BS Biology,A,2022,1st,1,96.93,0,2021,12
2022241398,College of Arts and Sciences,BS Biology,A,2022,2nd,1,96.93,0,2022,6
2022241398,College of Arts and Sciences,BS Biology,A,2023,1st,2,91.56,0,2022,12
2022241398,College of Arts and Sciences,BS Biology,A,2023,2nd,2,89.57,0,2023,6
2022241398,College of Arts and Sciences,BS Biology,A,2024,1st,3,96.14,0,2023,12
2022241398,College of Arts and Sciences,BS Biology,A,2024,2nd,3,85.47,0,2024,6
2022241398,College of Arts and Sciences,BS Biology,A,2025,1st,4,95.87,1,2024,12
2022241398,College of Arts and Sciences,BS Biology,A,2025,2nd,4,86.78,0,2025,6
2022616444,College of Arts and Sciences,BS Biology,A,2022,1st,1,89.78,0,2021,12
2022616444,College of Arts and Sciences,BS Biology,A,2022,2nd,1,94.35,0,2022,6
2022616444,College of Arts and Sciences,BS Biology,A,2023,1st,2,88.38,0,2022,12
2022616444,College of Arts and Sciences,BS Biology,A,2023,2nd,2,93.48,1,2023,6
2022616444,College of Arts and Sciences,BS Biology,A,2024,1st,3,86.51,0,2023,12
2022616444,College of Arts and Sciences,BS Biology,A,2024,2nd,3,85.78,0,2024,6
2022616444,College of Arts and Sciences,BS Biology,A,2025,1st,4,96.59,0,2024,12
2022616444,College of Arts and Sciences,BS Biology,A,2025,2nd,4,97.33,0,2025,6
2022793168,College of Arts and Sciences,BS Biology,A,2022,1st,1,94.53,0,2021,12
2022793168,College of Arts and Sciences,BS Biology,A,2022,2nd,1,90.86,0,2022,6
2022793168,College of Arts and Sciences,BS Biology,A,2023,1st,2,94.97,1,2022,12
2022793168,College of Arts and Sciences,BS Biology,A,2023,2nd,2,96.78,0,2023,6
2022793168,College of Arts and Sciences,BS Biology,A,2024,1st,3,95.85,0,2023,12
2022793168,College of Arts and Sciences,BS Biology,A,2024,2nd,3,97.32,0,2024,6
2022793168,College of Arts and Sciences,BS Biology,A,2025,1st,4,87.13,0,2024,12
2022793168,College of Arts and Sciences,BS Biology,A,2025,2nd,4,87.38,1,2025,6
2022932324,College of Arts and Sciences,BS Biology,A,2022,1st,1,95.74,0,2021,12
2022932324,College of Arts and Sciences,BS Biology,A,2022,2nd,1,94.67,1,2022,6
2022932324,College of Arts and Sciences,BS Biology,A,2023,1st,2,90.73,0,2022,12
2022932324,College of Arts and Sciences,BS Biology,A,2023,2nd,2,88.19,0,2023,6
2022932324,College of Arts and Sciences,BS Biology,A,2024,1st,3,92.2,0,2023,12
2022932324,College of Arts and Sciences,BS Biology,A,2024,2nd,3,92.42,0,2024,6
2022932324,College of Arts and Sciences,BS Biology,A,2025,1st,4,96.26,0,2024,12
2022932324,College of Arts and Sciences,BS Biology,A,2025,2nd,4,91.44,0,2025,6
2022126490,College of Arts and Sciences,BS Biology,A,2022,1st,1,86.72,0,2021,12
2022126490,College of Arts and Sciences,BS Biology,A,2022,2nd,1,85.7,1,2022,6
2022126490,College of Arts and Sciences,BS Biology,A,2023,1st,2,87.25,0,2022,12
2022126490,College of Arts and Sciences,BS Biology,A,2023,2nd,2,97.16,0,2023,6
2022126490,College of Arts and Sciences,BS Biology,A,2024,1st,3,92.49,1,2023,12
2022126490,College of Arts and Sciences,BS Biology,A,2024,2nd,3,85.69,1,2024,6
2022126490,College of Arts and Sciences,BS Biology,A,2025,1st,4,93.89,0,2024,12
2022126490,College of Arts and Sciences,BS Biology,A,2025,2nd,4,93.36,0,2025,6
2022117929,College of Arts and Sciences,BS Biology,A,2023,1st,1,94.69,0,2022,12
2022117929,College of Arts and Sciences,BS Biology,A,2023,2nd,1,92.52,2,2023,6
2022117929,College of Arts and Sciences,BS Biology,A,2024,1st,2,94.48,0,2023,12
2022117929,College of Arts and Sciences,BS Biology,A,2024,2nd,2,89.3,0,2024,6
2022117929,College of Arts and Sciences,BS Biology,A,2025,1st,3,96.02,0,2024,12
2022117929,College of Arts and Sciences,BS Biology,A,2025,2nd,3,85.41,0,2025,6
2022117929,College of Arts and Sciences,BS Biology,A,2026,1st,4,90.63,0,2025,12
2022720251,College of Arts and Sciences,BS Biology,A,2023,1st,1,94.35,0,2022,12
2022720251,College of Arts and Sciences,BS Biology,A,2023,2nd,1,94.79,2,2023,6
2022720251,College of Arts and Sciences,BS Biology,A,2024,1st,2,97.04,0,2023,12
2022720251,College of Arts and Sciences,BS Biology,A,2024,2nd,2,90.05,2,2024,6
2022720251,College of Arts and Sciences,BS Biology,A,2025,1st,3,90.27,1,2024,12
2022720251,College of Arts and Sciences,BS Biology,A,2025,2nd,3,85.89,2,2025,6
2022720251,College of Arts and Sciences,BS Biology,A,2026,1st,4,90.89,0,2025,12
2022318769,College of Arts and Sciences,BS Biology,A,2024,1st,1,85.42,2,2023,12
2022318769,College of Arts and Sciences,BS Biology,A,2024,2nd,1,89.42,0,2024,6
2022318769,College of Arts and Sciences,BS Biology,A,2025,1st,2,93.41,0,2024,12
2022318769,College of Arts and Sciences,BS Biology,A,2025,2nd,2,85.69,0,2025,6
2022318769,College of Arts and Sciences,BS Biology,A,2026,1st,3,86.15,0,2025,12
2022585497,College of Arts and Sciences,BS Biology,A,2024,1st,1,86.87,0,2023,12
2022585497,College of Arts and Sciences,BS Biology,A,2024,2nd,1,94.14,3,2024,6
2022585497,College of Arts and Sciences,BS Biology,A,2025,1st,2,85.27,0,2024,12
2022585497,College of Arts and Sciences,BS Biology,A,2025,2nd,2,87.96,0,2025,6
2022585497,College of Arts and Sciences,BS Biology,A,2026,1st,3,94.69,1,2025,12
2022767586,College of Arts and Sciences,BS Biology,A,2025,1st,1,86.32,2,2024,12
2022767586,College of Arts and Sciences,BS Biology,A,2025,2nd,1,88.24,1,2025,6
2022767586,College of Arts and Sciences,BS Biology,A,2026,1st,2,97.65,0,2025,12
2022198288,College of Arts and Sciences,BS Biology,A,2025,1st,1,89.13,0,2024,12
2022198288,College of Arts and Sciences,BS Biology,A,2025,2nd,1,91.12,1,2025,6
2022198288,College of Arts and Sciences,BS Biology,A,2026,1st,2,93.89,0,2025,12
2022414878,College of Education,BS Secondary Education - Major in English,A,2022,1st,1,86.37,0,2021,12
2022414878,College of Education,BS Secondary Education - Major in English,A,2022,2nd,1,89.6,0,2022,6
2022414878,College of Education,BS Secondary Education - Major in English,A,2023,1st,2,94.04,0,2022,12
2022414878,College of Education,BS Secondary Education - Major in English,A,2023,2nd,2,91.48,0,2023,6
2022414878,College of Education,BS Secondary Education - Major in English,A,2024,1st,3,90.71,0,2023,12
2022414878,College of Education,BS Secondary Education - Major in English,A,2024,2nd,3,85.52,0,2024,6
2022414878,College of Education,BS Secondary Education - Major in English,A,2025,1st,4,94.13,0,2024,12
2022414878,College of Education,BS Secondary Education - Major in English,A,2025,2nd,4,86.38,0,2025,6
2022498612,College of Education,BS Secondary Education - Major in English,A,2022,1st,1,86.08,0,2021,12
2022498612,College of Education,BS Secondary Education - Major in English,A,2022,2nd,1,94.53,0,2022,6
2022498612,College of Education,BS Secondary Education - Major in English,A,2023,1st,2,94.6,0,2022,12
2022498612,College of Education,BS Secondary Education - Major in English,A,2023,2nd,2,90.21,0,2023,6
2022498612,College of Education,BS Secondary Education - Major in English,A,2024,1st,3,89.15,1,2023,12
2022498612,College of Education,BS Secondary Education - Major in English,A,2024,2nd,3,91.11,2,2024,6
2022498612,College of Education,BS Secondary Education - Major in English,A,2025,1st,4,87.57,0,2024,12
2022498612,College of Education,BS Secondary Education - Major in English,A,2025,2nd,4,92.74,0,2025,6
2022833521,College of Education,BS Secondary Education - Major in English,A,2022,1st,1,89.8,0,2021,12
2022833521,College of Education,BS Secondary Education - Major in English,A,2022,2nd,1,94.44,0,2022,6
2022833521,College of Education,BS Secondary Education - Major in English,A,2023,1st,2,94.97,0,2022,12
2022833521,College of Education,BS Secondary Education - Major in English,A,2023,2nd,2,87.39,0,2023,6
2022833521,College of Education,BS Secondary Education - Major in English,A,2024,1st,3,87.23,3,2023,12
2022833521,College of Education,BS Secondary Education - Major in English,A,2024,2nd,3,87.44,0,2024,6
2022833521,College of Education,BS Secondary Education - Major in English,A,2025,1st,4,85.44,0,2024,12
2022833521,College of Education,BS Secondary Education - Major in English,A,2025,2nd,4,95.24,0,2025,6
2022842618,College of Education,BS Secondary Education - Major in English,A,2022,1st,1,92.19,0,2021,12
2022842618,College of Education,BS Secondary Education - Major in English,A,2022,2nd,1,88.85,0,2022,6
